#shift: 0
#len  spline  sel
10  -3.7962  0.0224559
11  -3.89574  0.0203284
12  -3.9616  0.0190326
13  -3.99572  0.0183942
14  -4  0.0183156
15  -3.97636  0.0187538
16  -3.92671  0.0197083
17  -3.85298  0.0212164
18  -3.75707  0.023352
19  -3.64091  0.0262285
20  -3.5064  0.0300046
21  -3.35547  0.0348928
22  -3.19004  0.0411704
23  -3.012  0.049193
24  -2.82329  0.0594099
25  -2.62582  0.0723802
26  -2.42151  0.0887878
27  -2.21226  0.109453
28  -2  0.135335
29  -1.78672  0.167509
30  -1.57473  0.207064
31  -1.36641  0.25502
32  -1.16416  0.312185
33  -0.970352  0.37895
34  -0.787379  0.455036
35  -0.617627  0.539223
36  -0.463482  0.629089
37  -0.32733  0.720846
38  -0.211559  0.809322
39  -0.118554  0.888204
40  -0.0507011  0.950563
41  -0.0103877  0.989666
42  0  1
43  -0.0207072  0.979506
44  -0.0688101  0.933504
45  -0.139392  0.869887
46  -0.227538  0.796492
47  -0.32833  0.720125
48  -0.436853  0.646066
49  -0.54819  0.577995
50  -0.657425  0.518184
51  -0.759642  0.467834
52  -0.849924  0.427447
53  -0.923355  0.397184
54  -0.975019  0.377185
55  -1  0.367879
56  -0.993381  0.370323
57  -0.950245  0.370323
58  -0.865678  0.370323
59  -0.734761  0.370323
60  -0.55258  0.370323
61  -0.314217  0.370323
62  -0.0147568  0.370323
63  0.350717  0.370323
64  0.787122  0.370323
65  1.29937  0.370323
